Source	Target	LetterNumber	href	tu	vous	wordcount	commas	meanSentenceLength	medianSentenceLength
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	38	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_38	0	11	648	44	27.0	20.0
CÉCILE VOLANGES	SOPHIE CARNAY	39	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_39	3	0	612	40	18.515151515151516	16.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	40	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_40	0	14	808	63	25.25	22.5
LA PRÉSIDENTE TOURVEL	VICOMTE DE VALMONT	41	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_41	0	26	537	49	41.30769230769231	38.0
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	42	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_42	0	25	493	33	32.86666666666667	25.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	43	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Suite_de_la_lettre_40	0	2	630	47	30.0	29.0
LA PRÉSIDENTE TOURVEL	VICOMTE DE VALMONT	44	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_43	0	33	487	33	40.583333333333336	37.5
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	45	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_44	0	15	2285	169	27.202380952380953	24.0
LA PRÉSIDENTE TOURVEL	MADAME DE VOLANGES	46	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_45	0	10	279	12	23.25	22.5
CHEVALIER DANCENY	CÉCILE VOLANGES	47	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_46	0	24	463	48	33.07142857142857	27.5
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	48	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_47	0	10	662	53	23.642857142857142	21.5
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	49	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_48	0	19	603	47	31.736842105263158	31.0
CÉCILE VOLANGES	CHEVALIER DANCENY	50	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_49	0	17	349	22	29.083333333333332	27.5
LA PRÉSIDENTE TOURVEL	VICOMTE DE VALMONT	51	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_50	0	22	545	39	54.5	40.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	52	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_51	0	19	986	64	28.17142857142857	23.0
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	53	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_52	0	44	877	78	62.642857142857146	40.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	54	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_53	0	4	236	19	21.454545454545453	15.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	55	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_54	0	2	659	50	27.5	23.5
CÉCILE VOLANGES	SOPHIE CARNAY	56	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_55	9	0	634	52	28.818181818181817	23.0
LA PRÉSIDENTE TOURVEL	VICOMTE DE VALMONT	57	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_56	0	30	587	44	24.458333333333332	14.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	58	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_57	0	17	724	60	30.166666666666668	25.5
VICOMTE DE VALMONT	LA PRÉSIDENTE TOURVEL	59	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_58	0	40	675	49	32.142857142857146	24.0
VICOMTE DE VALMONT	MARQUISE DE MERTEUIL	60	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_59	0	6	260	19	20.0	16.0
CHEVALIER DANCENY	VICOMTE DE VALMONT	61	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_60	0	14	229	14	19.083333333333332	19.0
CÉCILE VOLANGES	SOPHIE CARNAY	62	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_61	1	0	553	35	19.75	15.0
MADAME DE VOLANGES	CHEVALIER DANCENY	63	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_62	0	13	227	19	22.7	19.0
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	64	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_63	0	29	2352	189	29.049382716049383	26.0
CHEVALIER DANCENY	MADAME DE VOLANGES	65	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_64	0	40	956	79	25.157894736842106	22.5
