Source	Target	LetterNumber	href	tu	vous	wordcount	commas	meanSentenceLength	medianSentenceLength
MARQUISE DE MERTEUIL	VICOMTE DE VALMONT	160	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_159	0	5	93	4	18.6	20.0
MADAME DE VOLANGES	MADAME DE ROSEMONDE	161	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_160	0	7	311	21	18.294117647058822	15.0
MADAME TOURVEL	…	162	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_161	6	6	706	36	20.17142857142857	16.0
CHEVALIER DANCENY	VICOMTE DE VALMONT	163	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_162	0	8	155	12	17.22222222222222	11.0
MONSIEUR BERTRAND	MADAME DE ROSEMONDE	164	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_163	0	11	603	48	17.257142857142856	14.0
MADAME DE ROSEMONDE	MONSIEUR BERTRAND	165	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_164	0	10	267	20	20.53846153846154	23.0
MADAME DE VOLANGES	MADAME DE ROSEMONDE	166	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_165	0	9	1170	83	29.3	24.0
MONSIEUR BERTRAND	MADAME DE ROSEMONDE	167	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_166	0	5	222	19	20.181818181818183	19.0
ANONYME	CHEVALIER DANCENY	168	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_167	0	13	233	21	17.923076923076923	19.0
MADAME VOLANGES	MADAME DE ROSEMONDE	169	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_168	0	8	879	77	25.852941176470587	23.5
CHEVALIER DANCENY	MADAME DE ROSEMONDE	170	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_169	0	25	845	84	24.852941176470587	22.5
MADAME DE VOLANGES	MADAME DE ROSEMONDE	171	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_170	0	6	906	67	31.24137931034483	28.0
MADAME DE ROSEMONDE	CHEVALIER DANCENY	172	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_171	0	24	544	39	36.266666666666666	39.0
MADAME DE ROSEMONDE	MADAME DE VOLANGES	173	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_172	0	22	446	33	44.6	43.5
MADAME DE VOLANGES	MADAME DE ROSEMONDE	174	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_173	0	18	1046	85	28.243243243243242	27.0
CHEVALIER DANCENY	MADAME DE ROSEMONDE	175	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_174	0	12	560	48	32.94117647058823	25.0
MADAME DE VOLANGES	MADAME DE ROSEMONDE	176	fr.wikisource.org/wiki/Les_Liaisons_dangereuses/Lettre_175	0	4	585	42	23.4	18.0
